kepid,kepoi_name,koi_disposition,koi_score
8229696,K01072.01,CONFIRMED,0.9980
8262210,K01073.01,FALSE POSITIVE,0.0000
10272640,K01074.01,CONFIRMED,1.0000
10232123,K01075.01,FALSE POSITIVE,0.9640
10223616,K01076.01,FALSE POSITIVE,0.0000
8415745,K01138.01,FALSE POSITIVE,0.0000
8378634,K01139.01,FALSE POSITIVE,0.0000
8397675,K01140.01,FALSE POSITIVE,0.7620
8346392,K01141.01,CONFIRMED,1.0000
8288947,K01142.01,CONFIRMED,1.0000
8312852,K01143.01,FALSE POSITIVE,0.0000
9480189,K00941.01,CONFIRMED,1.0000
11974540,K00129.01,CONFIRMED,1.0000
9480189,K00941.02,CONFIRMED,1.0000
9480189,K00941.03,CONFIRMED,1.0000
9512687,K00942.01,CONFIRMED,1.0000
8644288,K00137.01,CONFIRMED,1.0000
5738346,K01006.01,FALSE POSITIVE,0.0000
1725016,K01007.01,CONFIRMED,1.0000
1722276,K01008.01,FALSE POSITIVE,0.0000
892772,K01009.01,FALSE POSITIVE,0.0000
1027438,K01010.01,FALSE POSITIVE,
10268907,K01077.01,FALSE POSITIVE,0.0000
5446285,K00142.01,CONFIRMED,
10166274,K01078.01,CONFIRMED,1.0000
10166274,K01078.02,CONFIRMED,0.9900
10166274,K01078.03,CONFIRMED,0.9920
10153827,K01079.01,FALSE POSITIVE,
5735762,K00148.03,CONFIRMED,0.9980
8302450,K01144.01,FALSE POSITIVE,0.0000
8313667,K01145.01,CANDIDATE,0.9960
8351704,K01146.01,CONFIRMED,1.0000
8299955,K01147.01,FALSE POSITIVE,0.0000
9513865,K00943.01,CONFIRMED,1.0000
9595686,K00944.01,FALSE POSITIVE,1.0000
9605514,K00945.01,CONFIRMED,1.0000
9605514,K00945.02,CONFIRMED,0.9990
9661877,K00946.01,FALSE POSITIVE,0.0000
5728283,K01011.01,FALSE POSITIVE,0.0000
8127639,K01012.01,FALSE POSITIVE,0.0000
6047498,K01013.01,FALSE POSITIVE,0.0000
8125580,K01014.01,CONFIRMED,0.9950
8158127,K01015.01,CONFIRMED,1.0000
10158990,K01080.01,FALSE POSITIVE,0.0000
10149023,K01081.01,CANDIDATE,0.0000
10141900,K01082.01,CONFIRMED,1.0000
10141900,K01082.02,CONFIRMED,0.6950
10141900,K01082.03,CONFIRMED,0.8210
8410727,K01148.01,CONFIRMED,1.0000
8410727,K01148.02,CONFIRMED,0.9980
8349405,K01149.01,FALSE POSITIVE,
8278371,K01150.01,CONFIRMED,1.0000
8280511,K01151.01,CONFIRMED,1.0000
8280511,K01151.02,CONFIRMED,0.9970
9710326,K00947.01,CONFIRMED,1.0000
9761882,K00948.01,CONFIRMED,1.0000
5297298,K00130.01,FALSE POSITIVE,0.9130
9766437,K00949.01,CONFIRMED,1.0000
9772531,K00950.01,CANDIDATE,0.9930
9775938,K00951.01,CONFIRMED,1.0000
8644288,K00137.02,CONFIRMED,1.0000
8158127,K01015.02,CONFIRMED,0.9890
8176653,K01016.01,FALSE POSITIVE,0.0000
8174625,K01017.01,CONFIRMED,1.0000
8183911,K01018.01,FALSE POSITIVE,0.0000
8179973,K01019.01,FALSE POSITIVE,
10157458,K01083.01,CONFIRMED,1.0000
4649305,K00143.01,FALSE POSITIVE,0.9830
10148521,K01084.01,FALSE POSITIVE,0.0000
10118816,K01085.01,CONFIRMED,0.9930
10122255,K01086.01,CONFIRMED,1.0000
3124412,K01087.01,FALSE POSITIVE,0.0000
3835670,K00149.01,CONFIRMED,1.0000
10287248,K01152.01,FALSE POSITIVE,0.0000
10351767,K01153.01,FALSE POSITIVE,0.0000
10295951,K01154.01,CANDIDATE,0.8710
